,ru,en,zh,es,pt,pt_BR,de,ja,fr,ko,pl,tr,uk,it
#err_engine_moved_after_message,"был перемещен или удален. Пожалуйста, укажите путь к нему.",executable has been moved or deleted. Please specify the path to it.,可执行文件已被移动或删除。 请指定它的路径。,"se ha movido o eliminado. Por favor, indique la ruta a ella.","o executável foi movido ou eliminado. Por favor, especifique o caminho para ele.","executável foi movido ou excluído. Por favor, especifique o caminho para ele.",die ausführbare Datei wurde verschoben oder gelöscht. Bitte geben Sie den Pfad dazu an.,実行可能ファイルが移動または削除されました。 それへのパスを指定してください。,l'exécutable a été déplacé ou supprimé. Veuillez spécifier le chemin d'accès.,이동 또는 삭제되었습니다. 그 경로를 지정하십시오.,został przeniesiony lub usunięty. Proszę podać ścieżkę do niego.,taşınmış veya silinmiş.  Lütfen yolunu belirtin.,"був переміщений або видалений. Будь ласка, вкажіть шлях до нього.",è stato spostato o eliminato. Si prega di fornire il percorso ad esso.
#err_invalid_engine_ver,Ошибка: Файл не является движком Godot версии,Error: The file is not a Godot engine version,错误：该文件不是Godot引擎版本,Error: el Archivo no es una versión del motor Godot,Erro: o ficheiro não é uma versão do Motor Godot,Erro: O arquivo não é uma versão do Godot engine,Fehler: Die Datei ist keine Godot Engine-Version,エラー：ファイルはGodotエンジンのバージョンではありません,Erreur: Le fichier n'est pas une version du moteur Godot,오류:파일이 고도 버전 엔진이 아닙니다,Błąd: plik nie jest silnikiem wersji Godot,"Hata: Dosya, Godot sürümüne ait bir motor değil",Помилка: Файл не є двигуном Godot версії,Errore: il file non è il motore di versione Godot
#err_select_correct_file,"Пожалуйста, выберите корректный файл.",Please select a correct file.,请选择一个正确的文件.,"Por favor, seleccione el archivo correcto.",Selecione um ficheiro correcto.,Selecione um arquivo correto.,Bitte wählen Sie eine korrekte Datei aus.,正しいファイルを選択してください。,Veuillez sélectionner un fichier correct.,올바른 파일을 선택하십시오.,Proszę wybrać odpowiedni plik.,Lütfen doğru dosyayı seçin.,"Будь ласка, виберіть коректний файл.",Si prega di selezionare il file corretto.
#err_project_mismatch,Ошибка: Выбран проект «,Error: Selected project «,错误：选定项目«,Error: proyecto Seleccionado «,Erro: projecto seleccionado «,Erro: projeto selecionado «,Fehler: Ausgewähltes Projekt «,エラー：選択したプロジェクト«,Erreur: Projet sélectionné «,오류:프로젝트«,Błąd: Wybrany projekt «,Hata: Proje seçildi «,Помилка: вибрано проект «,Errore: progetto selezionato «
#err_project_mismatch_after_message,"», а ожидался «","», but was expected «",»，但预期 «,"», y se esperaba «","», mas era esperado «","», mas era esperado «","», wurde aber erwartet «",»、期待していたが «,"», mais était attendu «","»,하지만 예상 «","», a oczekiwano «","», ama bekleniyordu «","», а очікувався «",» e previsto «
#err_read_project_file,Ошибка: Не удалось прочитать выбранный файл project.godot.,Error: Failed to read the selected project.godot file.,错误：无法读取所选项目project.godot。,Erro: não foi possível ler o project.godot selecionado.,Erro: não foi possível ler o project.godot selecionado.,Erro: não foi possível ler o project.godot selecionado.,Fehler: Das ausgewählte Projekt konnte nicht gelesen project.godot.,エラー：選択されたproject.godotを読み取れませんでした。,Erreur: Impossible de lire le project.godot sélectionné,오류:선택한 파일을 읽을 수 없음 project.godot,Błąd: nie można odczytać wybranego pliku project.godot.,Hata: Seçili proje dosyası project.godot.,Помилка: не вдалося прочитати вибраний файл project.godot.,Errore: Impossibile leggere il file project.godot selezionato
#btn_launch,Запустить,Run,跑,Lanzar,Executar,Para correr,Starten,実行するには,Démarrer,실행,Uruchomić,Çalıştır,Запустивши,Avviare
#err_delete_running,"[b]Ошибка удаления[/b]
Движок запущен","[b]Deletion error[/b]
Engine is running","[b]删除错误[/b]
发动机正在运转","[b] error de eliminación [/b]
Motor lanzado","[b]Erro de eliminação [/b]
O motor está a funcionar","[b]Erro de exclusão [/b]
O motor está funcionando","[b]Fehler beim Löschen[/b]
Die Engine ist gestartet","[b]削除エラー[/b]
エンジンが動いている","[b]erreur de suppression [/b]
Moteur lancé","[b]삭제 오류[/b]
엔진은","[b]błąd usuwania [/b]
Silnik uruchomiony","[b]Silme hatası[/b]
Motor başlatıldı","[b]помилка видалення [/b]
Ігровий движок запущений","[b]errore di eliminazione [/b]
Motore lanciato"
#input_new_tag, Новый тег..., New tag..., 新标签。.., Nueva etiqueta..., Nova etiqueta..., Nova tag..., Neues Etikett..., 新しいタグ。.., Nouvelle étiquette..., 새 태그..., Nowy tag..., Yeni etiket..., Новий тег..., Nuovo tag...
#status_in_progress,В процессе...,In progress...,进行中。..,En gestión...,Em curso...,Em andamento...,In Bearbeitung...,進行中です。..,En cours...,진행 중입니다...,W trakcie...,İşlem devam ediyor...,В процесі...,Nel corso di...
#btn_edit,Редактировать,Edit,编辑,Editar,Editar,Editar,Bearbeiten,編集,Modifier,편집,Edytuj,Düzenle,Редагувати,Modifica
#label_take_new_icon,Перетащите иконку в зону слева или выберите ее с диска,Drag the icon to the area on the left or select it from the disk.,将图标拖到左侧区域或从磁盘中选择。,Arrastre el icono al área de la izquierda o selecciónelo del disco.,Arraste o ícone para a área à esquerda ou selecione-o do disco.,Arrraste o ícone para a área à esquerda ou selecione-o no disco.,Ziehen Sie das Symbol in den linken Bereich oder wählen Sie es von der Festplatte aus.,アイコンを左側の領域にドラッグするか、ディスクから選択してください。,Faites glisser l'icône dans la zone de gauche ou sélectionnez-la sur le disque.,아이콘을 왼쪽 영역으로 드래그하거나 디스크에서 선택하세요.,Przeciągnij ikonę do obszaru po lewej stronie lub wybierz ją z dysku.,Simgeyi soldaki alana sürükleyin veya diskten seçin.,Перетягніть іконку в зону зліва або виберіть її з диска.,Trascina l'icona nell'area a sinistra o selezionala dal disco.
#label_UID_attantion,"К сожалению, в проектах, основанных на новых версиях Godot Engine автоматически взять иконку не получится. Это связано с введением UID для иконок в project.godot","Unfortunately, in projects based on new versions of Godot Engine, the icon cannot be retrieved automatically. This is due to the introduction of UIDs for icons in project.godot",不幸的是，在基于新版本 Godot Engine 的项目中，无法自动获取图标。这是由于 project.godot 中为图标引入了 UID。,"Lamentablemente, en los proyectos basados en las nuevas versiones de Godot Engine, no es posible obtener el icono automáticamente. Esto se debe a la introducción de UID para los iconos en project.godot","Infelizmente, em projetos baseados em novas versões do Godot Engine, não é possível obter o ícone automaticamente. Isso se deve à introdução de UIDs para ícones no project.godot","Infelizmente, em projetos baseados em novas versões do Godot Engine, não é possível obter o ícone automaticamente. Isso se deve à introdução de UIDs para ícones no project.godot","Leider kann das Symbol in Projekten, die auf neuen Versionen der Godot Engine basieren, nicht automatisch abgerufen werden. Dies liegt an der Einführung von UIDs für Symbole in project.godot",残念ながら、新しいバージョンの Godot Engine に基づくプロジェクトでは、アイコンを自動的に取得することはできません。これは、project.godot でアイコンに UID が導入されたためです。,"Malheureusement, dans les projets basés sur les nouvelles versions de Godot Engine, l'icône ne peut pas être récupérée automatiquement. Cela est dû à l'introduction d'UID pour les icônes dans project.godot",죄송합니다. 최신 버전의 Godot Engine 기반 프로젝트에서는 아이콘을 자동으로 가져올 수 없습니다. 이는 project.godot의 아이콘에 UID가 도입되었기 때문입니다.,"Niestety, w projektach opartych na nowych wersjach Godot Engine nie można automatycznie pobrać ikony. Jest to związane z wprowadzeniem identyfikatorów UID dla ikon w project.godot","Maalesef, Godot Engine'in yeni sürümlerine dayalı projelerde simge otomatik olarak alınamaz. Bu durum, project.godot dosyasında simgeler için UID'lerin eklenmesinden kaynaklanmaktadır.","На жаль, у проєктах на базі нових версій Godot Engine автоматично отримати іконку не вдасться. Це пов’язано з введенням UID для іконок у project.godot","Purtroppo, nei progetti basati sulle nuove versioni di Godot Engine, non è possibile recuperare l'icona automaticamente. Ciò è dovuto all'introduzione degli UID per le icone in project.godot"
#AI_attantion,Перевод выполнен при помощи ИИ!,Translated by AI!,AI 翻译！,¡Traducción realizada por IA!,Tradução feita por IA!,Tradução feita por IA!,Übersetzt von KI!,AIによって翻訳されました！,Traduction réalisée par l'IA !,AI로 번역되었습니다!,Tłumaczenie wykonane przez SI!,Yapay Zeka ile çevrilmiştir!,Переклад виконано за допомогою ШІ!,Traduzione realizzata dall'IA!
